Source,UPM,XOPQ,XOPQ ‰,XOUC,XOUC ‰,XOLC,XOLC ‰,XOFI,XOFI ‰,XTRA,XTRA ‰,XTUC,XTUC ‰,XTLC,XTLC ‰,XTFI,XTFI ‰,XTAB,XTAB ‰,GRAD,GRAD ‰,XTSB,XTSB ‰,XUCS,XUCS ‰,XUCR,XUCR ‰,XLCS,XLCS ‰,XLCR,XLCR ‰,XFIR,XFIR ‰,YOPQ,YOPQ ‰,YOUC,YOUC ‰,YOLC,YOLC ‰,YOFI,YOFI ‰,YTAS,YTAS ‰,YTDE,YTDE ‰,YTOS,YTOS ‰,YTUO,YTUO ‰,YTLO,YTLO ‰,YTDO,YTDO ‰,YTAO,YTAO ‰,YTFO,YTFO ‰,YTRA,YTRA ‰,YTUC,YTUC ‰,YTLC,YTLC ‰,YTFI,YTFI ‰,PWGT,PWGT ‰,PWDT,PWDT ‰,POPS,POPS ‰,UDLN,UDLN ‰
RobotoExtremo-opsz8-wght100-wdth25-XOPQmin.ufo,2048,43,21,43,21,0,0,,,684,334,684,334,511,250,601,294,1075,525,684,334,,,170,83,115,57,148,73,85,42,216,106,94,46,94,46,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,684,334,684,334,,,-268,-130
RobotoExtremo-opsz8-wght100-wdth151-XOPQmin.ufo,2048,61,30,61,30,0,0,,,964,471,964,471,791,387,856,418,1330,650,964,471,,,170,83,115,57,148,73,85,42,207,101,102,50,102,50,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,964,471,964,471,,,-268,-130
RobotoExtremo-opsz14-wght100-wdth100-XOPQmin.ufo,2048,38,19,38,19,0,0,,,779,381,779,381,568,278,685,335,1156,565,779,381,,,170,83,115,57,148,73,85,42,217,106,85,42,85,42,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,779,381,779,381,,,-100,-48
RobotoExtremo-opsz14-wght100-wdth25-XOPQmin.ufo,2048,30,15,30,15,0,0,,,639,312,639,312,449,220,559,273,1038,507,639,312,,,170,83,115,57,148,73,85,42,225,110,81,40,81,40,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,639,312,639,312,,,44,22
RobotoExtremo-opsz14-wght100-wdth151-XOPQmin.ufo,2048,48,24,48,24,0,0,,,919,449,919,449,730,357,813,397,1273,622,919,449,,,170,83,115,57,148,73,85,42,207,101,89,44,89,44,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,919,449,919,449,,,44,22
RobotoExtremo-opsz144-wght400-wdth100-XOPQmin.ufo,2048,58,29,58,29,0,0,,,690,337,690,337,526,257,582,284,900,440,690,337,,,130,64,86,42,118,58,56,28,131,64,98,48,98,48,0,0,0,0,1458,712,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1902,929,1456,711,914,447,1456,711,690,337,690,337,,,-235,-114
RobotoExtremo-opszmax-wghtmin.ufo,2048,10,5,10,5,0,0,,,850,415,850,415,661,323,682,333,900,440,850,415,,,150,74,92,45,123,61,60,30,104,51,8,4,8,4,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,850,415,850,415,,,-225,-109
RobotoExtremo-opsz144-wght400-wdth25-XOPQmin.ufo,2048,58,29,58,29,0,0,,,104,51,104,51,153,75,140,69,352,172,104,51,,,46,23,42,21,40,20,36,18,79,39,104,51,104,51,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opsz144-wght900-wdth25-XOPQmin.ufo,2048,458,224,458,224,0,0,,,30,15,30,15,478,234,469,229,1008,493,30,15,,,10,5,6,3,8,4,4,2,43,21,497,243,497,243,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,30,15,30,15,,,-56,-27
RobotoExtremo-opsz144-wght400-wdth151-XOPQmin.ufo,2048,70,35,70,35,0,0,,,1100,538,1100,538,781,382,1137,555,1463,715,1100,538,,,230,113,86,42,188,92,86,42,127,62,98,48,98,48,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1456,711,1100,538,1100,538,,,-140,-68
RobotoExtremo-opszmax-wghtmin-wdthmax.ufo,2048,10,5,10,5,0,0,,,1260,616,1260,616,908,444,1203,588,1463,715,1260,616,,,250,123,92,45,193,95,80,40,125,61,10,5,10,5,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1260,616,1260,616,,,-176,-85
RobotoExtremo-opsz144-wght900-wdth151-XOPQmin.ufo,2048,532,260,532,260,0,0,,,500,245,500,245,841,411,1154,564,1901,929,500,245,,,140,69,24,12,88,43,40,20,112,55,499,244,499,244,0,0,0,0,1454,710,-388,-189,-24,-11,-24,-11,-37,-18,-440,-214,1478,722,-24,-11,1842,900,1456,711,914,447,1456,711,500,245,500,245,,,-75,-36
RobotoExtremo-opsz144-wght400-wdth25-XOPQmax.ufo,2048,186,91,186,91,0,0,,,104,51,104,51,277,136,273,133,352,172,104,51,,,46,23,42,21,40,20,36,18,55,27,104,51,104,51,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opsz144-wght900-wdth25-XOPQmax.ufo,2048,580,284,580,284,0,0,,,30,15,30,15,596,291,596,291,1008,493,30,15,,,10,5,6,3,8,4,4,2,85,42,497,243,497,243,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,30,15,30,15,,,-56,-27
RobotoExtremo-opsz144-wght900-wdth151-XOPQmax.ufo,2048,678,332,678,332,0,0,,,500,245,500,245,982,480,1304,637,1901,929,500,245,,,140,69,24,12,88,43,40,20,39,19,499,244,499,244,0,0,0,0,1454,710,-388,-189,-24,-11,-24,-11,-37,-18,-440,-214,1478,722,-24,-11,1842,900,1456,711,914,447,1456,711,500,245,500,245,,,-75,-36
RobotoExtremo-opsz8-wght100-wdth100-YOPQmin.ufo,2048,103,51,103,51,0,0,,,824,403,824,403,679,332,779,381,1193,583,824,403,,,170,83,115,57,148,73,85,42,155,76,58,29,58,29,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1090,532,1456,711,824,403,824,403,,,-256,-125
RobotoExtremo-opsz8-wght100-wdth25-YOPQmin.ufo,2048,95,47,95,47,0,0,,,684,334,684,334,560,274,653,319,1075,525,684,334,,,170,83,115,57,148,73,85,42,163,80,54,27,54,27,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,684,334,684,334,,,-268,-130
RobotoExtremo-opsz8-wght100-wdth151-YOPQmin.ufo,2048,113,55,113,55,0,0,,,964,471,964,471,841,411,909,444,1330,650,964,471,,,170,83,115,57,148,73,85,42,155,76,44,22,44,22,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,964,471,964,471,,,-268,-130
RobotoExtremo-opsz14-wght100-wdth100-YOPQmin.ufo,2048,90,44,90,44,0,0,,,779,381,779,381,618,302,737,360,1156,565,779,381,,,170,83,115,57,148,73,85,42,164,81,33,16,33,16,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,779,381,779,381,,,-100,-48
RobotoExtremo-opsz14-wght100-wdth25-YOPQmin.ufo,2048,82,40,82,40,0,0,,,639,312,639,312,499,244,611,299,1038,507,639,312,,,170,83,115,57,148,73,85,42,172,84,29,14,29,14,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,639,312,639,312,,,44,22
RobotoExtremo-opsz14-wght100-wdth151-YOPQmin.ufo,2048,100,49,100,49,0,0,,,919,449,919,449,780,381,865,423,1273,622,919,449,,,170,83,115,57,148,73,85,42,154,76,37,18,37,18,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,919,449,919,449,,,44,22
RobotoExtremo-opsz144-wght400-wdth100-YOPQmin.ufo,2048,110,54,110,54,0,0,,,690,337,690,337,575,281,634,310,900,440,690,337,,,130,64,86,42,118,58,56,28,78,39,46,23,46,23,0,0,0,0,1458,712,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1902,929,1456,711,914,447,1456,711,690,337,690,337,,,-235,-114
RobotoExtremo-opszmax-wghtmin.ufo,2048,10,5,10,5,0,0,,,850,415,850,415,661,323,682,333,900,440,850,415,,,150,74,92,45,123,61,60,30,104,51,8,4,8,4,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,850,415,850,415,,,-225,-109
RobotoExtremo-opsz144-wght400-wdth25-YOPQmin.ufo,2048,98,48,98,48,0,0,,,104,51,104,51,191,94,180,88,352,172,104,51,,,46,23,42,21,40,20,36,18,38,19,82,40,82,40,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opsz144-wght400-wdth151-YOPQmin.ufo,2048,110,54,110,54,0,0,,,1100,538,1100,538,819,400,1177,575,1463,715,1100,538,,,230,113,86,42,188,92,86,42,86,42,76,38,76,38,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1456,711,1100,538,1100,538,,,-140,-68
RobotoExtremo-opszmax-wghtmin-wdthmax.ufo,2048,10,5,10,5,0,0,,,1260,616,1260,616,908,444,1203,588,1463,715,1260,616,,,250,123,92,45,193,95,80,40,125,61,10,5,10,5,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1260,616,1260,616,,,-176,-85
RobotoExtremo-opsz144-wght900-wdth151-YOPQmin.ufo,2048,600,293,600,293,0,0,,,500,245,500,245,906,443,1222,597,1901,929,500,245,,,140,69,24,12,88,43,40,20,43,21,451,221,451,221,0,0,0,0,1454,710,-388,-189,-24,-11,-24,-11,-37,-18,-440,-214,1478,722,-24,-11,1842,900,1456,711,914,447,1456,711,500,245,500,245,,,-75,-36
RobotoExtremo-opsz144-wght900-wdth100-YOPQmax.ufo,2048,600,293,600,293,0,0,,,90,44,90,44,662,324,689,337,1333,651,90,44,,,40,20,24,12,18,9,10,5,26,13,529,259,529,259,0,0,0,0,1456,711,-416,-203,-20,-9,-20,-9,-27,-13,-440,-214,1478,722,-20,-9,1872,915,1456,711,914,447,1456,711,90,44,90,44,,,-30,-14
RobotoExtremo-opsz144-wght400-wdth25-YOPQmax.ufo,2048,98,48,98,48,0,0,,,104,51,104,51,191,94,180,88,352,172,104,51,,,46,23,42,21,40,20,36,18,38,19,134,66,134,66,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opsz144-wght900-wdth25-YOPQmax.ufo,2048,490,240,490,240,0,0,,,30,15,30,15,508,248,501,245,1008,493,30,15,,,10,5,6,3,8,4,4,2,10,5,519,254,519,254,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,30,15,30,15,,,-56,-27
RobotoExtremo-opsz144-wght900-wdth151-YOPQmax.ufo,2048,600,293,600,293,0,0,,,500,245,500,245,906,443,1222,597,1901,929,500,245,,,140,69,24,12,88,43,40,20,43,21,533,261,533,261,0,0,0,0,1454,710,-388,-189,-24,-11,-24,-11,-37,-18,-440,-214,1478,722,-24,-11,1842,900,1456,711,914,447,1456,711,500,245,500,245,,,-75,-36
RobotoExtremo-opsz8-wght900-wdth25-XTRAmin.ufo,2048,314,154,314,154,0,0,,,295,144,295,144,469,229,399,195,902,441,295,144,,,170,83,115,57,138,68,75,37,90,44,224,110,224,110,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1116,545,1456,711,295,144,295,144,,,-268,-130
RobotoExtremo-opsz14-wght900-wdth100-XTRAmin.ufo,2048,421,206,421,206,0,0,,,260,127,260,127,520,254,502,246,1005,491,260,127,,,140,69,84,41,112,55,61,30,32,16,313,153,313,153,0,0,0,0,1526,746,-416,-203,-28,-14,-28,-14,-29,-14,-436,-212,1547,756,-29,-14,1942,949,1456,711,1058,517,1456,711,260,127,260,127,,,-89,-43
RobotoExtremo-opsz14-wght900-wdth25-XTRAmin.ufo,2048,413,202,413,202,0,0,,,218,107,218,107,523,256,460,225,970,474,218,107,,,140,69,84,41,90,44,55,27,40,20,309,151,309,151,0,0,0,0,1526,746,-416,-203,-28,-14,-28,-14,-30,-14,-436,-212,1546,755,-29,-14,1942,949,1456,711,1058,517,1456,711,218,107,218,107,,,55,27
RobotoExtremo-opszmax-wghtmin.ufo,2048,10,5,10,5,0,0,,,850,415,850,415,661,323,682,333,900,440,850,415,,,150,74,92,45,123,61,60,30,104,51,8,4,8,4,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,850,415,850,415,,,-225,-109
RobotoExtremo-opsz144-wght900-wdth100-XTRAmin.ufo,2048,600,293,600,293,0,0,,,73,36,73,36,649,317,675,330,1318,644,73,36,,,40,20,24,12,18,9,10,5,26,13,499,244,499,244,0,0,0,0,1456,711,-416,-203,-20,-9,-20,-9,-27,-13,-440,-214,1478,722,-20,-9,1872,915,1456,711,914,447,1456,711,73,36,73,36,,,-30,-14
RobotoExtremo-opszmax-wdthmin.ufo,2048,98,48,98,48,0,0,,,104,51,104,51,191,94,180,88,352,172,104,51,,,46,23,42,21,40,20,36,18,38,19,104,51,104,51,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opszmax-wghtmax-wdthmin.ufo,2048,490,240,490,240,0,0,,,30,15,30,15,508,248,501,245,1008,493,30,15,,,10,5,6,3,8,4,4,2,10,5,497,243,497,243,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,30,15,30,15,,,-56,-27
RobotoExtremo-opsz144-wght400-wdth100-XTRAmin.ufo,2048,110,54,110,54,0,0,,,410,201,410,201,353,173,397,194,664,325,410,201,,,130,64,86,42,118,58,56,28,78,39,102,50,102,50,0,0,0,0,1458,712,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1902,929,1456,711,914,447,1456,711,410,201,410,201,,,-235,-114
RobotoExtremo-opszmax-wghtmin-wdthmax.ufo,2048,10,5,10,5,0,0,,,1260,616,1260,616,908,444,1203,588,1463,715,1260,616,,,250,123,92,45,193,95,80,40,125,61,10,5,10,5,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1260,616,1260,616,,,-176,-85
RobotoExtremo-opsz144-wght400-wdth151-XTRAmin.ufo,2048,110,54,110,54,0,0,,,820,401,820,401,597,292,940,459,1227,600,820,401,,,230,113,86,42,188,92,86,42,86,42,98,48,98,48,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1456,711,820,401,820,401,,,-140,-68
RobotoExtremo-opsz144-wght400-wdth100-XTRAmax.ufo,2048,110,54,110,54,0,0,,,970,474,970,474,882,431,869,425,1134,554,970,474,,,130,64,86,42,118,58,56,28,78,39,100,49,100,49,0,0,0,0,1458,712,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1902,929,1456,711,914,447,1456,711,970,474,970,474,,,-235,-114
RobotoExtremo-opsz144-wght100-wdth100-XTRAmax.ufo,2048,10,5,10,5,0,0,,,1130,552,1130,552,968,473,916,448,1134,554,1130,552,,,150,74,92,45,123,61,60,30,104,51,8,4,8,4,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,1130,552,1130,552,,,-225,-109
RobotoExtremo-opsz144-wght400-wdth25-XTRAmax.ufo,2048,98,48,98,48,0,0,,,384,188,384,188,498,244,415,203,586,287,384,188,,,46,23,42,21,40,20,36,18,38,19,104,51,104,51,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,384,188,384,188,,,-245,-119
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opsz144-wght900-wdth25-XTRAmax.ufo,2048,490,240,490,240,0,0,,,55,27,55,27,536,262,522,255,1029,503,55,27,,,10,5,6,3,8,4,4,2,10,5,497,243,497,243,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,55,27,55,27,,,-56,-27
RobotoExtremo-opsz144-wght100-wdth151-XTRAmax.ufo,2048,10,5,10,5,0,0,,,1540,752,1540,752,1215,594,1438,703,1697,829,1540,752,,,250,123,92,45,193,95,80,40,125,61,10,5,10,5,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1540,752,1540,752,,,-176,-85
