Source,UPM,XOPQ,XOPQ ‰,XOUC,XOUC ‰,XOLC,XOLC ‰,XOFI,XOFI ‰,XTRA,XTRA ‰,XTUC,XTUC ‰,XTLC,XTLC ‰,XTFI,XTFI ‰,XTAB,XTAB ‰,GRAD,GRAD ‰,XTSB,XTSB ‰,XUCS,XUCS ‰,XUCR,XUCR ‰,XLCS,XLCS ‰,XLCR,XLCR ‰,XFIR,XFIR ‰,YOPQ,YOPQ ‰,YOUC,YOUC ‰,YOLC,YOLC ‰,YOFI,YOFI ‰,YTAS,YTAS ‰,YTDE,YTDE ‰,YTOS,YTOS ‰,YTUO,YTUO ‰,YTLO,YTLO ‰,YTDO,YTDO ‰,YTAO,YTAO ‰,YTFO,YTFO ‰,YTRA,YTRA ‰,YTUC,YTUC ‰,YTLC,YTLC ‰,YTFI,YTFI ‰,PWGT,PWGT ‰,PWDT,PWDT ‰,POPS,POPS ‰,UDLN,UDLN ‰
RobotoExtremo-YTDEmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-200,-97,-30,-14,-30,-14,-30,-14,-221,-107,1556,760,-30,-14,1736,848,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-GRADmin.ufo,2048,131,64,131,64,0,0,,,816,399,816,399,705,345,746,365,1156,565,816,399,,,190,93,135,66,158,78,102,50,139,68,96,47,96,47,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,816,399,816,399,,,-243,-118
RobotoExtremo-GRADmax.ufo,2048,254,124,254,124,0,0,,,641,313,641,313,646,316,722,353,1156,565,641,313,,,156,77,95,47,128,63,70,35,84,41,221,108,221,108,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,641,313,641,313,,,-242,-118
RobotoExtremo-wghtmin.ufo,2048,90,44,90,44,0,0,,,779,381,779,381,618,302,737,360,1156,565,779,381,,,170,83,115,57,148,73,85,42,164,81,85,42,85,42,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,779,381,779,381,,,-100,-48
RobotoExtremo-wghtmax.ufo,2048,421,206,421,206,0,0,,,439,215,439,215,662,324,654,320,1156,565,439,215,,,140,69,84,41,112,55,61,30,32,16,313,153,313,153,0,0,0,0,1526,746,-416,-203,-28,-14,-28,-14,-29,-14,-436,-212,1547,756,-29,-14,1942,949,1456,711,1058,517,1456,711,439,215,439,215,,,-89,-43
RobotoExtremo-opszmin.ufo,2048,205,100,205,100,0,0,,,779,381,779,381,728,356,793,388,1193,583,779,381,,,170,83,115,57,148,73,85,42,97,48,172,84,172,84,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1090,532,1456,711,779,381,779,381,,,-244,-119
RobotoExtremo-opszmax.ufo,2048,110,54,110,54,0,0,,,690,337,690,337,575,281,634,310,900,440,690,337,,,130,64,86,42,118,58,56,28,78,39,98,48,98,48,0,0,0,0,1458,712,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1902,929,1456,711,914,447,1456,711,690,337,690,337,,,-235,-114
RobotoExtremo-wdthmin.ufo,2048,184,90,184,90,0,0,,,594,290,594,290,547,268,616,301,1038,507,594,290,,,170,83,115,57,148,73,85,42,118,58,154,76,154,76,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,594,290,594,290,,,-100,-48
RobotoExtremo-wdthmax.ufo,2048,202,99,202,99,0,0,,,874,427,874,427,828,405,870,425,1273,622,874,427,,,170,83,115,57,148,73,85,42,100,49,162,80,162,80,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,874,427,874,427,,,-100,-48
RobotoExtremo-opszmax-wdthmax.ufo,2048,110,54,110,54,0,0,,,1100,538,1100,538,819,400,1177,575,1463,715,1100,538,,,230,113,86,42,188,92,86,42,86,42,98,48,98,48,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1456,711,1100,538,1100,538,,,-140,-68
RobotoExtremo-opszmax-wdthmin.ufo,2048,98,48,98,48,0,0,,,104,51,104,51,191,94,180,88,352,172,104,51,,,46,23,42,21,40,20,36,18,38,19,104,51,104,51,0,0,0,0,1456,711,-416,-203,-10,-4,-10,-4,-9,-4,-417,-203,1478,722,-10,-4,1872,915,1456,711,914,447,1456,711,104,51,104,51,,,-245,-119
RobotoExtremo-opszmax-wghtmax.ufo,2048,600,293,600,293,0,0,,,90,44,90,44,662,324,689,337,1333,651,90,44,,,40,20,24,12,18,9,10,5,26,13,499,244,499,244,0,0,0,0,1456,711,-416,-203,-20,-9,-20,-9,-27,-13,-440,-214,1478,722,-20,-9,1872,915,1456,711,914,447,1456,711,90,44,90,44,,,-30,-14
RobotoExtremo-opszmax-wghtmin.ufo,2048,10,5,10,5,0,0,,,850,415,850,415,661,323,682,333,900,440,850,415,,,150,74,92,45,123,61,60,30,104,51,8,4,8,4,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,850,415,850,415,,,-225,-109
RobotoExtremo-opszmax-wghtmin-wdthmax.ufo,2048,10,5,10,5,0,0,,,1260,616,1260,616,908,444,1203,588,1463,715,1260,616,,,250,123,92,45,193,95,80,40,125,61,10,5,10,5,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1260,616,1260,616,,,-176,-85
RobotoExtremo-opszmax-wghtmin-wdthmin.ufo,2048,6,3,6,3,0,0,,,138,68,138,68,112,55,137,67,227,111,138,68,,,54,27,44,22,46,23,40,20,42,21,6,3,6,3,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,138,68,138,68,,,-251,-122
RobotoExtremo-opszmax-wghtmax-wdthmax.ufo,2048,600,293,600,293,0,0,,,500,245,500,245,906,443,1222,597,1901,929,500,245,,,140,69,24,12,88,43,40,20,43,21,499,244,499,244,0,0,0,0,1454,710,-388,-189,-24,-11,-24,-11,-37,-18,-440,-214,1478,722,-24,-11,1842,900,1456,711,914,447,1456,711,500,245,500,245,,,-75,-36
RobotoExtremo-opszmax-wghtmax-wdthmin.ufo,2048,490,240,490,240,0,0,,,30,15,30,15,508,248,501,245,1008,493,30,15,,,10,5,6,3,8,4,4,2,10,5,497,243,497,243,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,30,15,30,15,,,-56,-27
RobotoExtremo-opszmin-wdthmax.ufo,2048,215,105,215,105,0,0,,,919,449,919,449,889,435,922,451,1330,650,919,449,,,170,83,115,57,148,73,85,42,96,47,176,86,176,86,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,919,449,919,449,,,-256,-125
RobotoExtremo-opszmin-wdthmin.ufo,2048,197,96,197,96,0,0,,,639,312,639,312,609,298,667,326,1075,525,639,312,,,170,83,115,57,148,73,85,42,105,52,168,82,168,82,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,639,312,639,312,,,-256,-125
RobotoExtremo-opszmin-wghtmax.ufo,2048,322,157,322,157,0,0,,,639,312,639,312,731,357,698,341,1193,583,639,312,,,170,83,115,57,148,73,85,42,82,40,228,112,228,112,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1116,545,1456,711,639,312,639,312,,,-256,-125
RobotoExtremo-opszmin-wghtmin.ufo,2048,103,51,103,51,0,0,,,824,403,824,403,679,332,779,381,1193,583,824,403,,,170,83,115,57,148,73,85,42,155,76,98,48,98,48,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1090,532,1456,711,824,403,824,403,,,-256,-125
RobotoExtremo-opszmin-wghtmax-wdthmin.ufo,2048,314,154,314,154,0,0,,,499,244,499,244,631,309,572,280,1075,525,499,244,,,170,83,115,57,138,68,75,37,90,44,224,110,224,110,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1116,545,1456,711,499,244,499,244,,,-268,-130
RobotoExtremo-wghtmax-wdthmin.ufo,2048,413,202,413,202,0,0,,,299,146,299,146,587,287,528,258,1038,507,299,146,,,140,69,84,41,90,44,55,27,40,20,309,151,309,151,0,0,0,0,1526,746,-416,-203,-28,-14,-28,-14,-30,-14,-436,-212,1546,755,-29,-14,1942,949,1456,711,1058,517,1456,711,299,146,299,146,,,55,27
