Measurement,Axis,Direction,Reference glyph 1,Point index 1,Reference glyph 2,Point index 2
XTRA1,XTRA,x,H,0,H,8
YTRA1,YTRA,y,H,1,p,0
XOPQ1,XOPQ,x,H,0,H,11
YOPQ1,YOPQ,y,H,3,H,10
YTLC1,YTLC,y,x,0,x,8
YTUC1,YTUC,y,H,0,H,1
YTFG1,YTFG,y,1,0,7,3
YTAS1,YTAS,y,h,0,h,1
YTDE1,YTDE,y,p,0,p,33
YTAD1,YTAD,y,ˆ,0,ˆ,7
YTDD1,YTDD,y,,,,
YOAW1,YOAW,y,,,,
XOAW1,XOAW,x,,,,
XTAB1,XTAB,x,,,,
YTSE1,YTSE,y,,,,
VOTF1,VOTF,y,,,,
PWTH1,PWTH,x,H,0,H,8
PWHT1,PWHT,x,H,0,H,11
UDLN1,UDLN,y,,,,
